,200lon,200lat,225lon,225lat,250lon,250lat,275lon,275lat,300lon,300lat,325lon,325lat,350lon,350lat
0,252.7068698973115,3.581320961049762,252.62459885419807,3.581320961049762,252.54232781108465,3.581320961049762,252.46005676797122,3.581320961049762,252.3777857248578,3.581320961049762,252.29551468174438,3.581320961049762,252.21324363863096,3.581320961049762
1,252.57322182544243,3.580432618155942,252.490950782329,3.580432618155942,252.4086797392156,3.580432618155942,252.32640869610216,3.580432618155942,252.24413765298874,3.580432618155942,252.1618666098753,3.580432618155942,252.07959556676187,3.580432618155942
2,252.43962625022635,3.5795412240655606,252.35735520711293,3.5795412240655606,252.27508416399948,3.5795412240655606,252.19281312088606,3.5795412240655606,252.11054207777264,3.5795412240655606,252.0282710346592,3.5795412240655606,251.9459999915458,3.5795412240655606
3,252.30608339060132,3.5786467653099017,252.2238123474879,3.5786467653099017,252.14154130437447,3.5786467653099017,252.05927026126105,3.5786467653099017,251.97699921814763,3.5786467653099017,251.8947281750342,3.5786467653099017,251.81245713192078,3.5786467653099017
4,252.1725934667784,3.5777492283429204,252.090322423665,3.5777492283429204,252.00805138055156,3.5777492283429204,251.92578033743814,3.5777492283429204,251.84350929432472,3.5777492283429204,251.7612382512113,3.5777492283429204,251.67896720809784,3.5777492283429204
5,252.03915669998884,3.576848599539909,251.95688565687541,3.576848599539909,251.874614613762,3.576848599539909,251.79234357064854,3.576848599539909,251.71007252753512,3.576848599539909,251.6278014844217,3.576848599539909,251.54553044130827,3.576848599539909
6,251.90577331275236,3.5759448651978376,251.82350226963894,3.5759448651978376,251.74123122652549,3.5759448651978376,251.65896018341206,3.5759448651978376,251.57668914029864,3.5759448651978376,251.49441809718522,3.5759448651978376,251.4121470540718,3.5759448651978376
7,251.77244352869644,3.5750380115337004,251.690172485583,3.5750380115337004,251.6079014424696,3.5750380115337004,251.52563039935615,3.5750380115337004,251.44335935624272,3.5750380115337004,251.3610883131293,3.5750380115337004,251.27881727001588,3.5750380115337004
8,251.6391675726248,3.5741280246850153,251.5568965295114,3.5741280246850153,251.47462548639797,3.5741280246850153,251.39235444328455,3.5741280246850153,251.31008340017112,3.5741280246850153,251.2278123570577,3.5741280246850153,251.14554131394425,3.5741280246850153
9,251.505945670544,3.573214890708668,251.42367462743056,3.573214890708668,251.34140358431713,3.573214890708668,251.2591325412037,3.573214890708668,251.1768614980903,3.573214890708668,251.09459045497687,3.573214890708668,251.01231941186344,3.573214890708668
10,251.37277804967798,3.572298595580137,251.29050700656455,3.572298595580137,251.20823596345113,3.572298595580137,251.1259649203377,3.572298595580137,251.04369387722429,3.572298595580137,250.96142283411086,3.572298595580137,250.8791517909974,3.572298595580137
11,251.23966493841925,3.57137912519368,251.15739389530583,3.57137912519368,251.0751228521924,3.57137912519368,250.99285180907899,3.57137912519368,250.91058076596556,3.57137912519368,250.8283097228521,3.57137912519368,250.7460386797387,3.57137912519368
12,251.1066065664249,3.570456465360774,251.02433552331146,3.570456465360774,250.94206448019804,3.570456465360774,250.85979343708462,3.570456465360774,250.7775223939712,3.570456465360774,250.69525135085775,3.570456465360774,250.61298030774432,3.570456465360774
13,250.9736031642207,3.5695306018156323,250.89133212110727,3.5695306018156323,250.80906107799385,3.5695306018156323,250.72679003488042,3.5695306018156323,250.644518991767,3.5695306018156323,250.56224794865358,3.5695306018156323,250.47997690554016,3.5695306018156323
14,250.84065496290268,3.568601520222479,250.75838391978925,3.568601520222479,250.67611287667583,3.568601520222479,250.5938418335624,3.568601520222479,250.51157079044899,3.568601520222479,250.42929974733556,3.568601520222479,250.34702870422214,3.568601520222479
15,250.70776219709535,3.567669206117858,250.62549115398193,3.567669206117858,250.5432201108685,3.567669206117858,250.46094906775508,3.567669206117858,250.37867802464166,3.567669206117858,250.29640698152824,3.567669206117858,250.2141359384148,3.567669206117858
16,250.57492510140935,3.566733644977496,250.49265405829593,3.566733644977496,250.4103830151825,3.566733644977496,250.32811197206905,3.566733644977496,250.24584092895566,3.566733644977496,250.1635698858422,3.566733644977496,250.08129884272878,3.566733644977496
17,250.44214391168757,3.5657948221923155,250.35987286857414,3.5657948221923155,250.27760182546072,3.5657948221923155,250.1953307823473,3.5657948221923155,250.11305973923385,3.5657948221923155,250.03078869612042,3.5657948221923155,249.948517653007,3.5657948221923155
18,250.30941886502882,3.56485272306681,250.2271478219154,3.56485272306681,250.14487677880197,3.56485272306681,250.06260573568855,3.56485272306681,249.98033469257513,3.56485272306681,249.8980636494617,3.56485272306681,249.81579260634828,3.56485272306681
19,250.17675019982678,3.5639073328193853,250.09447915671336,3.5639073328193853,250.0122081135999,3.5639073328193853,249.9299370704865,3.5639073328193853,249.84766602737307,3.5639073328193853,249.76539498425964,3.5639073328193853,249.68312394114622,3.5639073328193853
20,250.04413815571053,3.5629586365811523,249.9618671125971,3.5629586365811523,249.87959606948368,3.5629586365811523,249.79732502637026,3.5629586365811523,249.71505398325684,3.5629586365811523,249.63278294014341,3.5629586365811523,249.55051189703,3.5629586365811523
21,249.9115829736766,3.562006619395172,249.82931193056314,3.562006619395172,249.7470408874497,3.562006619395172,249.6647698443363,3.562006619395172,249.58249880122287,3.562006619395172,249.50022775810945,3.562006619395172,249.41795671499602,3.562006619395172
22,249.77908489595225,3.561051266216474,249.69681385283883,3.561051266216474,249.6145428097254,3.561051266216474,249.53227176661198,3.561051266216474,249.45000072349856,3.561051266216474,249.36772968038514,3.561051266216474,249.2854586372717,3.561051266216474
